startStationId,starthour,startTripCount,hour
50,2013-08-29 11:00:00,4,11
50,2013-08-29 12:00:00,10,12
50,2013-08-29 13:00:00,3,13
50,2013-08-29 14:00:00,2,14
50,2013-08-29 15:00:00,4,15
50,2013-08-29 16:00:00,9,16
50,2013-08-29 18:00:00,3,18
50,2013-08-29 19:00:00,5,19
50,2013-08-29 20:00:00,2,20
50,2013-08-30 07:00:00,1,7
50,2013-08-30 08:00:00,4,8
50,2013-08-30 09:00:00,2,9
50,2013-08-30 12:00:00,9,12
50,2013-08-30 13:00:00,4,13
50,2013-08-30 14:00:00,3,14
50,2013-08-30 15:00:00,2,15
50,2013-08-30 16:00:00,4,16
50,2013-08-30 17:00:00,1,17
50,2013-08-30 19:00:00,1,19
50,2013-08-30 20:00:00,2,20
50,2013-08-30 23:00:00,3,23
50,2013-08-31 09:00:00,2,9
50,2013-08-31 11:00:00,8,11
50,2013-08-31 12:00:00,5,12
50,2013-08-31 13:00:00,8,13
50,2013-08-31 14:00:00,10,14
50,2013-08-31 15:00:00,1,15
50,2013-08-31 16:00:00,3,16
50,2013-08-31 17:00:00,1,17
50,2013-08-31 18:00:00,3,18
50,2013-08-31 19:00:00,1,19
50,2013-08-31 21:00:00,5,21
50,2013-09-01 00:00:00,1,0
50,2013-09-01 02:00:00,2,2
50,2013-09-01 08:00:00,3,8
50,2013-09-01 09:00:00,1,9
50,2013-09-01 10:00:00,2,10
50,2013-09-01 11:00:00,7,11
50,2013-09-01 12:00:00,15,12
50,2013-09-01 13:00:00,4,13
50,2013-09-01 14:00:00,10,14
50,2013-09-01 15:00:00,8,15
50,2013-09-01 16:00:00,1,16
50,2013-09-01 17:00:00,3,17
50,2013-09-01 18:00:00,5,18
50,2013-09-01 19:00:00,2,19
50,2013-09-01 20:00:00,1,20
50,2013-09-01 23:00:00,1,23
50,2013-09-02 00:00:00,2,0
50,2013-09-02 02:00:00,2,2
50,2013-09-02 08:00:00,1,8
50,2013-09-02 09:00:00,2,9
50,2013-09-02 10:00:00,4,10
50,2013-09-02 11:00:00,4,11
50,2013-09-02 12:00:00,9,12
50,2013-09-02 13:00:00,8,13
50,2013-09-02 14:00:00,12,14
50,2013-09-02 15:00:00,13,15
50,2013-09-02 16:00:00,7,16
50,2013-09-02 17:00:00,5,17
50,2013-09-02 19:00:00,1,19
50,2013-09-02 20:00:00,7,20
50,2013-09-02 21:00:00,1,21
50,2013-09-03 06:00:00,1,6
50,2013-09-03 07:00:00,1,7
50,2013-09-03 08:00:00,3,8
50,2013-09-03 09:00:00,2,9
50,2013-09-03 11:00:00,1,11
50,2013-09-03 12:00:00,2,12
50,2013-09-03 14:00:00,1,14
50,2013-09-03 15:00:00,2,15
50,2013-09-03 17:00:00,1,17
50,2013-09-03 18:00:00,1,18
50,2013-09-03 19:00:00,4,19
50,2013-09-03 20:00:00,1,20
50,2013-09-04 08:00:00,4,8
50,2013-09-04 10:00:00,1,10
50,2013-09-04 11:00:00,3,11
50,2013-09-04 12:00:00,2,12
50,2013-09-04 13:00:00,1,13
50,2013-09-04 14:00:00,7,14
50,2013-09-04 16:00:00,1,16
50,2013-09-04 17:00:00,3,17
50,2013-09-04 18:00:00,3,18
50,2013-09-04 20:00:00,1,20
50,2013-09-04 21:00:00,1,21
50,2013-09-05 07:00:00,2,7
50,2013-09-05 08:00:00,6,8
50,2013-09-05 11:00:00,4,11
50,2013-09-05 13:00:00,2,13
50,2013-09-05 14:00:00,5,14
50,2013-09-05 15:00:00,2,15
50,2013-09-05 16:00:00,1,16
50,2013-09-05 17:00:00,1,17
50,2013-09-05 18:00:00,4,18
50,2013-09-05 19:00:00,2,19
50,2013-09-05 20:00:00,3,20
50,2013-09-05 21:00:00,3,21
50,2013-09-06 07:00:00,3,7
50,2013-09-06 09:00:00,1,9
50,2013-09-06 10:00:00,3,10
50,2013-09-06 11:00:00,1,11
50,2013-09-06 12:00:00,1,12
50,2013-09-06 13:00:00,6,13
50,2013-09-06 14:00:00,3,14
50,2013-09-06 15:00:00,1,15
50,2013-09-06 16:00:00,4,16
50,2013-09-06 18:00:00,2,18
50,2013-09-06 19:00:00,6,19
50,2013-09-06 20:00:00,4,20
