Time,Temp(F),Humidity(%),WindSpeed(mph)
2013-11-21 01:00,51.1,86,8.1
2013-11-21 02:00,51.1,83,8.1
2013-11-21 03:00,51.1,83,8.1
2013-11-21 04:00,51.1,83,8.1
2013-11-21 05:00,50.0,87,6.9
2013-11-21 05:00,50.0,89,5.8
2013-11-21 05:00,50.0,94,4.6
2013-11-21 06:00,50.0,94,3.5
2013-11-21 06:00,50.0,93,3.5
2013-11-21 07:00,51.8,88,4.6
2013-11-21 07:00,52.0,89,5.8
2013-11-21 08:00,51.1,92,0
2013-11-21 09:00,51.1,92,4.6
2013-11-21 09:00,51.8,88,4.6
2013-11-21 10:00,53.1,86,3.5
2013-11-21 11:00,54.0,80,3.5
2013-11-21 12:00,55.0,72,5.8
2013-11-21 13:00,55.9,55,0
2013-11-21 14:00,60.1,41,4.6
2013-11-21 15:00,61.0,34,18.4
2013-11-21 16:00,61.0,35,17.3
2013-11-21 17:00,61.0,36,15.0
2013-11-21 18:00,60.1,39,15.0
2013-11-21 19:00,60.1,41,15.0
2013-11-21 20:00,60.1,36,24.2
2013-11-21 21:00,60.1,38,25.3
2013-11-21 22:00,59.0,39,18.4
2013-11-21 23:00,60.1,35,23.0
2013-11-22 00:00,57.9,39,15.0
2013-11-22 01:00,60.1,35,23.0
2013-11-22 02:00,60.1,33,21.9
2013-11-22 03:00,59.0,31,16.1
2013-11-22 04:00,57.9,37,11.5
2013-11-22 05:00,57.9,36,15.0
2013-11-22 06:00,57.9,32,16.1
2013-11-22 07:00,57.0,39,8.1
2013-11-22 08:00,59.0,32,16.1
2013-11-22 09:00,57.9,33,10.4
2013-11-22 10:00,60.1,30,9.2
2013-11-22 11:00,62.1,41,9.2
2013-11-22 12:00,64.9,29,11.5
2013-11-22 13:00,66.0,29,16.1
2013-11-22 14:00,66.0,29,18.4
2013-11-22 15:00,64.9,39,18.4
2013-11-22 16:00,64.9,39,16.1
2013-11-22 17:00,66.9,24,8.1
2013-11-22 18:00,61.0,35,11.5
2013-11-22 19:00,69.1,19,9.2
2013-11-22 20:00,63.0,33,8.1
2013-11-22 21:00,62.1,37,19.6
2013-11-22 22:00,60.1,36,12.7
2013-11-22 23:00,59.0,42,11.5
2013-11-23 00:00,60.1,38,19.6
2013-11-23 01:00,59.0,41,21.9
2013-11-23 02:00,57.0,37,5.8
2013-11-23 03:00,53.1,52,9.2
2013-11-23 04:00,52.0,53,5.8
2013-11-23 05:00,55.9,39,4.6
2013-11-23 06:00,57.0,45,9.2
2013-11-23 07:00,52.0,54,0
2013-11-23 08:00,54.0,53,0
2013-11-23 09:00,54.0,59,3.5
2013-11-23 10:00,57.0,57,4.6
2013-11-23 11:00,59.0,49,3.5
2013-11-23 12:00,61.0,38,3.5
2013-11-23 13:00,64.0,29,0
2013-11-23 14:00,64.0,33,3.5
2013-11-23 15:00,64.0,35,3.5
2013-11-23 16:00,64.0,35,0
2013-11-23 17:00,62.1,44,6.9
2013-11-23 18:00,60.1,47,3.5
2013-11-23 19:00,59.0,51,4.6
2013-11-23 20:00,57.0,59,3.5
2013-11-23 21:00,55.9,67,5.8
2013-11-23 22:00,53.1,69,4.6
2013-11-23 23:00,52.0,69,4.6
2013-11-24 00:00,51.1,68,0
2013-11-24 01:00,48.9,41.0 °F,0
2013-11-24 02:00,48.9,41.0 °F,0
2013-11-24 03:00,48.0,39.9 °F,0
2013-11-24 04:00,45.0,39.0 °F,0
2013-11-24 05:00,46.9,39.9 °F,0
2013-11-24 06:00,46.9,41.0 °F,0
2013-11-24 07:00,48.0,43.0 °F,0
2013-11-24 08:00,48.9,45.0 °F,0
2013-11-24 09:00,52.0,46.0 °F,0
2013-11-24 10:00,54.0,45.0 °F,0
2013-11-24 11:00,54.0,44.1 °F,0
2013-11-24 12:00,55.0,44.1 °F,0
2013-11-24 13:00,57.0,45.0 °F,0
2013-11-24 14:00,59.0,44.1 °F,0
2013-11-24 15:00,59.0,46.0 °F,0
2013-11-24 16:00,59.0,48.9 °F,0
2013-11-24 17:00,59.0,43.0 °F,0
2013-11-24 18:00,55.9,43.0 °F,0
2013-11-24 19:00,55.0,42.1 °F,0
2013-11-24 20:00,54.0,42.1 °F,0
2013-11-24 21:00,53.1,41.0 °F,0
2013-11-24 22:00,51.1,41.0 °F,0
2013-11-24 23:00,52.0,39.9 °F,0
2013-11-25 00:00,50.0,39.0 °F,0
2013-11-25 01:00,46.9,37.9 °F,0
2013-11-25 02:00,46.9,39.0 °F,0
2013-11-25 03:00,46.9,39.9 °F,0
2013-11-25 04:00,48.0,42.1 °F,0
2013-11-25 05:00,44.1,39.0 °F,0
2013-11-25 06:00,45.0,39.9 °F,0
2013-11-25 07:00,46.9,42.1 °F,0
2013-11-25 08:00,48.9,44.1 °F,0
2013-11-25 09:00,52.0,44.1 °F,0
2013-11-25 10:00,53.1,44.1 °F,0
2013-11-25 11:00,55.0,44.1 °F,0
2013-11-25 12:00,57.0,43.0 °F,0
2013-11-25 13:00,59.0,44.1 °F,0
2013-11-25 14:00,60.1,45.0 °F,0
2013-11-25 15:00,61.0,44.1 °F,0
2013-11-25 16:00,59.0,46.0 °F,0
2013-11-25 17:00,59.0,45.0 °F,0
2013-11-25 18:00,59.0,43.0 °F,0
2013-11-25 19:00,55.9,41.0 °F,0
2013-11-25 20:00,55.9,42.1 °F,0
2013-11-25 21:00,54.0,42.1 °F,0
2013-11-25 22:00,55.9,43.0 °F,0
2013-11-25 23:00,53.1,44.1 °F,0
2013-11-26 00:00,55.0,44.1 °F,0
