Time,Temp(F),Humidity(%),WindSpeed(mph)
2013/08/28 01:00 AM,60.1,86,16.1
2013/08/28 02:00 AM,60.1,86,11.5
2013/08/28 03:00 AM,60.1,86,8.1
2013/08/28 04:00 AM,60.1,86,10.4
2013/08/28 05:00 AM,60.1,86,8.1
2013/08/28 06:00 AM,60.1,83,5.8
2013/08/28 07:00 AM,59.0,87,5.8
2013/08/28 08:00 AM,61.0,83,0
2013/08/28 09:00 AM,62.6,77,3.5
2013/08/28 09:00 AM,62.1,80,4.6
2013/08/28 10:00 AM,64.0,78,6.9
2013/08/28 11:00 AM,66.0,75,12.7
2013/08/28 11:00 AM,68.0,68,10.4
2013/08/28 12:00 PM,69.1,70,12.7
2013/08/28 01:00 PM,73.0,61,15.0
2013/08/28 02:00 PM,73.0,64,15.0
2013/08/28 03:00 PM,73.0,61,21.9
2013/08/28 04:00 PM,71.1,66,20.7
2013/08/28 05:00 PM,69.1,70,21.9
2013/08/28 06:00 PM,68.0,76,24.2
2013/08/28 06:00 PM,66.2,78,23.0
2013/08/28 07:00 PM,64.4,83,23.0
2013/08/28 07:00 PM,64.0,84,24.2
2013/08/28 08:00 PM,64.0,84,26.5
2013/08/28 09:00 PM,63.0,87,13.8
2013/08/28 10:00 PM,63.0,87,13.8
2013/08/28 11:00 PM,62.1,90,12.7
2013/08/29 12:00 AM,62.1,86,10.4
2013/08/29 12:00 AM,62.6,82,10.4
2013/08/29 01:00 AM,62.1,84,8.1
2013/08/29 01:00 AM,60.8,88,5.8
2013/08/29 02:00 AM,61.0,90,4.6
2013/08/29 03:00 AM,62.1,84,5.8
2013/08/29 04:00 AM,62.1,84,4.6
2013/08/29 05:00 AM,61.0,87,0
2013/08/29 06:00 AM,62.1,80,0
2013/08/29 07:00 AM,62.1,84,0
2013/08/29 07:00 AM,62.6,82,0
2013/08/29 08:00 AM,63.0,84,0
2013/08/29 09:00 AM,64.9,81,3.5
2013/08/29 10:00 AM,66.9,76,6.9
2013/08/29 11:00 AM,69.1,70,8.1
2013/08/29 12:00 PM,72.0,64,12.7
2013/08/29 01:00 PM,71.1,66,16.1
2013/08/29 02:00 PM,73.0,59,17.3
2013/08/29 03:00 PM,73.0,59,18.4
2013/08/29 04:00 PM,73.0,61,20.7
2013/08/29 05:00 PM,71.1,63,20.7
2013/08/29 06:00 PM,68.0,70,16.1
2013/08/29 07:00 PM,66.9,73,20.7
2013/08/29 08:00 PM,64.9,81,17.3
2013/08/29 09:00 PM,64.9,81,20.7
2013/08/29 10:00 PM,64.4,88,17.3
2013/08/29 10:00 PM,64.0,87,16.1
2013/08/29 11:00 PM,63.0,90,13.8
2013/08/30 12:00 AM,63.0,87,13.8
