Time,Station,Change
2013-08-29,2,1
2013-08-30,2,1
2013-08-31,2,-1
2013-09-01,2,0
2013-09-02,2,-1
2013-09-03,2,-2
2013-09-04,2,-1
2013-09-05,2,2
2013-09-06,2,3
2013-09-07,2,-1
2013-09-08,2,-3
2013-09-09,2,0
2013-09-10,2,-2
2013-09-11,2,-1
2013-09-12,2,-2
2013-09-13,2,0
2013-09-14,2,0
2013-09-15,2,-1
2013-09-16,2,1
2013-09-17,2,0
2013-09-18,2,-3
2013-09-19,2,0
2013-09-20,2,1
2013-09-21,2,1
2013-09-22,2,2
2013-09-23,2,-2
2013-09-24,2,-4
2013-09-25,2,-2
2013-09-26,2,-4
2013-09-27,2,1
2013-09-28,2,-3
2013-09-29,2,-1
2013-09-30,2,-6
2013-10-01,2,-2
2013-10-02,2,-2
2013-10-03,2,-7
2013-10-04,2,-7
2013-10-05,2,-1
2013-10-06,2,0
2013-10-07,2,-2
2013-10-08,2,-4
2013-10-09,2,3
2013-10-10,2,-4
2013-10-11,2,-1
2013-10-12,2,-6
2013-10-13,2,4
2013-10-14,2,-1
2013-10-15,2,-1
2013-10-16,2,-2
2013-10-17,2,-2
2013-10-18,2,0
2013-10-19,2,0
2013-10-20,2,0
2013-10-21,2,-1
2013-10-22,2,2
2013-10-23,2,0
2013-10-24,2,1
2013-10-25,2,2
2013-10-26,2,-4
2013-10-27,2,1
2013-10-28,2,6
2013-10-29,2,-1
2013-10-30,2,-2
2013-10-31,2,3
2013-11-01,2,-1
2013-11-02,2,-3
2013-11-03,2,0
2013-11-04,2,-2
2013-11-05,2,-7
2013-11-06,2,1
2013-11-07,2,-1
2013-11-08,2,0
2013-11-09,2,0
2013-11-10,2,-2
2013-11-11,2,-6
2013-11-12,2,-2
2013-11-13,2,-4
2013-11-14,2,-4
2013-11-15,2,4
2013-11-16,2,-2
2013-11-17,2,-2
2013-11-18,2,-2
2013-11-19,2,-2
2013-11-20,2,-1
2013-11-21,2,-1
2013-11-22,2,-1
2013-11-23,2,-3
2013-11-24,2,1
2013-11-25,2,-2
2013-11-26,2,2
2013-11-27,2,4
2013-11-28,2,-1
2013-11-29,2,-2
2013-11-30,2,0
2013-12-01,2,-1
2013-12-02,2,3
2013-12-03,2,-6
2013-12-04,2,3
2013-12-05,2,-1
2013-12-06,2,1
2013-12-07,2,-1
2013-12-08,2,-1
2013-12-09,2,-2
2013-12-10,2,-1
2013-12-11,2,1
2013-12-12,2,-2
2013-12-13,2,0
2013-12-14,2,0
2013-12-15,2,0
2013-12-16,2,0
2013-12-17,2,-2
2013-12-18,2,-7
2013-12-19,2,-4
2013-12-20,2,-6
2013-12-21,2,-2
2013-12-22,2,-2
2013-12-23,2,-1
2013-12-24,2,1
2013-12-25,2,-1
2013-12-26,2,2
2013-12-27,2,1
2013-12-28,2,-3
2013-12-29,2,1
2013-12-30,2,0
2013-12-31,2,1
2014-01-01,2,2
2014-01-02,2,3
2014-01-03,2,-3
2014-01-04,2,2
2014-01-05,2,0
2014-01-06,2,0
2014-01-07,2,0
2014-01-08,2,0
2014-01-09,2,-3
2014-01-10,2,-4
2014-01-11,2,0
2014-01-12,2,2
2014-01-13,2,2
2014-01-14,2,-4
2014-01-15,2,1
2014-01-16,2,-3
2014-01-17,2,3
2014-01-18,2,1
2014-01-19,2,-2
2014-01-20,2,-3
2014-01-21,2,0
2014-01-22,2,0
2014-01-23,2,4
2014-01-24,2,3
2014-01-25,2,1
2014-01-26,2,0
2014-01-27,2,-2
2014-01-28,2,-1
2014-01-29,2,-3
2014-01-30,2,3
2014-01-31,2,-2
2014-02-01,2,2
2014-02-02,2,-2
2014-02-03,2,1
2014-02-04,2,0
2014-02-05,2,-2
2014-02-06,2,1
2014-02-07,2,-6
2014-02-08,2,2
2014-02-09,2,0
2014-02-10,2,-6
2014-02-11,2,-2
2014-02-12,2,-4
2014-02-13,2,3
2014-02-14,2,2
2014-02-15,2,-3
2014-02-16,2,0
2014-02-17,2,-1
2014-02-18,2,1
2014-02-19,2,-1
2014-02-20,2,-2
2014-02-21,2,-2
2014-02-22,2,0
2014-02-23,2,0
2014-02-24,2,-3
2014-02-25,2,0
2014-02-26,2,-1
2014-02-27,2,-3
2014-02-28,2,0
2013-08-29,3,-4
2013-08-30,3,1
2013-09-01,3,2
2013-09-02,3,1
2013-09-05,3,1
2013-09-06,3,0
2013-09-07,3,7
2013-09-08,3,1
2013-09-09,3,1
2013-09-10,3,0
2013-09-11,3,1
2013-09-12,3,0
2013-09-13,3,0
2013-09-14,3,-3
