Station,Change,Available
2,1,26
2,1,26
2,-1,28
2,0,27
2,-1,28
2,-2,29
2,-1,28
2,2,25
2,3,24
2,-1,28
2,-3,30
2,0,27
2,-2,29
2,-1,28
2,-2,29
2,0,27
2,0,27
2,-1,28
2,1,26
2,0,27
2,-3,30
2,0,27
2,1,26
2,1,26
2,2,25
2,-2,29
2,-4,31
2,-2,29
2,-4,31
2,1,26
2,-3,30
2,-1,28
2,-6,33
2,-2,29
2,-2,29
2,-7,34
2,-7,34
2,-1,28
2,0,27
2,-2,29
2,-4,31
2,3,24
2,-4,31
2,-1,28
2,-6,33
2,4,23
2,-1,28
2,-1,28
2,-2,29
2,-2,29
2,0,27
2,0,27
2,0,27
2,-1,28
2,2,25
2,0,27
2,1,26
2,2,25
2,-4,31
2,1,26
2,6,21
2,-1,28
2,-2,29
2,3,24
2,-1,28
2,-3,30
2,0,27
2,-2,29
2,-7,34
2,1,26
2,-1,28
2,0,27
2,0,27
2,-2,29
2,-6,33
2,-2,29
2,-4,31
2,-4,31
2,4,23
2,-2,29
2,-2,29
2,-2,29
2,-2,29
2,-1,28
2,-1,28
2,-1,28
2,-3,30
2,1,26
2,-2,29
2,2,25
2,4,23
2,-1,28
2,-2,29
2,0,27
2,-1,28
2,3,24
2,-6,33
2,3,24
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,-2,29
2,-1,28
2,1,26
2,-2,29
2,0,27
2,0,27
2,0,27
2,0,27
2,-2,29
2,-7,34
2,-4,31
2,-6,33
2,-2,29
2,-2,29
2,-1,28
2,1,26
2,-1,28
2,2,25
2,1,26
2,-3,30
2,1,26
2,0,27
2,1,26
2,2,25
2,3,24
2,-3,30
2,2,25
2,0,27
2,0,27
2,0,27
2,0,27
2,-3,30
2,-4,31
2,0,27
2,2,25
2,2,25
2,-4,31
2,1,26
2,-3,30
2,3,24
2,1,26
2,-2,29
2,-3,30
2,0,27
2,0,27
2,4,23
2,3,24
2,1,26
2,0,27
2,-2,29
2,-1,28
2,-3,30
2,3,24
2,-2,29
2,2,25
2,-2,29
2,1,26
2,0,27
2,-2,29
2,1,26
2,-6,33
2,2,25
2,0,27
2,-6,33
2,-2,29
2,-4,31
2,3,24
2,2,25
2,-3,30
2,0,27
2,-1,28
2,1,26
2,-1,28
2,-2,29
2,-2,29
2,0,27
2,0,27
2,-3,30
2,0,27
2,-1,28
2,-3,30
2,0,27
3,-4,19
3,1,14
3,2,13
3,1,14
3,1,14
3,0,15
3,7,8
3,1,14
3,1,14
3,0,15
3,1,14
3,0,15
3,0,15
3,-3,18
3,4,11
3,1,14
3,-2,17
3,-2,17
3,-1,16
3,0,15
3,3,12
3,-2,17
3,-2,17
3,-1,16
3,1,14
3,2,13
3,1,14
3,0,15
3,1,14
3,1,14
3,3,12
3,-2,17
3,3,12
3,-4,19
3,-2,17
3,-4,19
3,-2,17
3,0,15
3,1,14
3,-3,18
3,1,14
3,1,14
3,2,13
3,0,15
3,1,14
3,0,15
3,-1,16
3,0,15
3,0,15
3,1,14
3,0,15
3,0,15
3,0,15
3,-1,16
3,1,14
3,0,15
3,1,14
3,-2,17
3,0,15
3,2,13
3,1,14
3,0,15
3,0,15
3,-1,16
3,-2,17
3,1,14
3,1,14
3,-1,16
3,1,14
3,1,14
3,0,15
3,1,14
3,-1,16
3,-1,16
3,-1,16
3,-5,20
3,2,13
3,5,10
3,-3,18
3,-1,16
3,2,13
3,2,13
3,1,14
3,-1,16
3,0,15
3,0,15
3,2,13
3,-1,16
3,-1,16
3,-2,17
3,0,15
3,-1,16
3,0,15
3,0,15
3,1,14
3,1,14
3,0,15
3,1,14
3,1,14
3,1,14
3,1,14
3,-1,16
3,0,15
3,3,12
3,-1,16
3,1,14
3,-2,17
3,1,14
3,1,14
3,0,15
3,0,15
3,-1,16
3,0,15
3,1,14
3,0,15
3,5,10
3,0,15
3,0,15
3,-1,16
3,1,14
3,-1,16
3,0,15
3,1,14
3,1,14
3,3,12
3,-1,16
3,2,13
3,2,13
3,1,14
3,0,15
3,-2,17
3,-1,16
3,0,15
3,-2,17
3,-3,18
3,-1,16
3,-1,16
3,-1,16
3,2,13
3,0,15
3,1,14
3,-1,16
3,1,14
3,1,14
3,0,15
3,1,14
3,0,15
3,0,15
3,0,15
3,1,14
3,1,14
3,1,14
3,-1,16
3,0,15
3,1,14
3,0,15
3,0,15
3,0,15
3,2,13
3,1,14
3,1,14
4,0,11
4,-1,12
4,0,11
4,1,10
4,0,11
4,1,10
4,-1,12
4,-4,15
4,1,10
4,-1,12
4,-1,12
4,-1,12
4,1,10
4,0,11
4,-1,12
4,-1,12
4,-2,13
4,-2,13
4,1,10
4,1,10
4,-1,12
4,-1,12
4,-2,13
4,-3,14
4,0,11
4,1,10
4,-2,13
4,-2,13
4,-2,13
4,1,10
4,0,11
4,-1,12
4,0,11
4,-1,12
4,2,9
4,-2,13
4,-1,12
4,2,9
4,-3,14
4,0,11
4,0,11
4,0,11
4,-1,12
4,2,9
4,-1,12
4,-1,12
4,2,9
4,-1,12
4,-2,13
4,-1,12
4,2,9
4,0,11
4,-3,14
4,-4,15
4,1,10
4,-2,13
4,0,11
4,-1,12
4,0,11
4,-3,14
4,-1,12
4,-1,12
4,1,10
4,-6,17
4,1,10
4,1,10
4,-1,12
4,1,10
4,-2,13
4,0,11
4,3,8
4,-1,12
4,-1,12
4,1,10
4,2,9
4,-5,16
4,-1,12
4,1,10
4,0,11
4,1,10
4,0,11
4,1,10
4,-2,13
4,0,11
4,0,11
4,2,9
4,0,11
4,1,10
4,-1,12
4,0,11
4,-1,12
4,-1,12
4,-1,12
4,-3,14
4,0,11
4,-3,14
4,3,8
4,2,9
4,3,8
4,1,10
4,-2,13
4,1,10
4,-4,15
4,-1,12
4,1,10
4,-1,12
4,0,11
4,1,10
4,0,11
4,1,10
4,2,9
4,3,8
4,-4,15
4,2,9
4,2,9
4,-1,12
4,-1,12
4,0,11
4,0,11
4,0,11
4,-2,13
4,0,11
4,-1,12
4,1,10
4,-3,14
4,-2,13
4,-2,13
4,0,11
4,-1,12
4,-2,13
4,1,10
4,-1,12
4,0,11
4,1,10
4,-1,12
4,-1,12
4,-3,14
4,1,10
4,0,11
4,0,11
4,-2,13
4,1,10
4,-1,12
4,2,9
4,3,8
4,-3,14
4,-4,15
4,1,10
4,1,10
4,1,10
4,-1,12
4,-2,13
4,-2,13
4,-1,12
4,-1,12
4,1,10
4,1,10
4,4,7
4,-2,13
4,1,10
4,0,11
4,-1,12
4,2,9
4,1,10
4,-2,13
4,-1,12
4,-2,13
4,1,10
4,-3,14
4,-3,14
4,-2,13
4,2,9
4,1,10
4,-3,14
4,-3,14
4,-3,14
4,0,11
4,-2,13
4,2,9
4,2,9
4,-1,12
5,-1,20
5,1,18
5,0,19
5,-1,20
5,-3,22
5,-2,21
5,-1,20
5,0,19
5,0,19
5,0,19
5,-1,20
5,-1,20
5,-1,20
5,0,19
5,-1,20
5,0,19
5,-3,22
5,0,19
5,0,19
5,-2,21
5,1,18
5,1,18
5,0,19
5,1,18
5,1,18
5,-1,20
5,-1,20
5,2,17
5,0,19
5,-1,20
5,3,16
5,0,19
5,2,17
5,0,19
5,-1,20
5,0,19
5,0,19
5,1,18
5,-2,21
5,1,18
5,-1,20
5,0,19
5,-1,20
5,-1,20
5,2,17
5,0,19
5,0,19
5,0,19
5,-2,21
5,0,19
5,1,18
5,0,19
5,-2,21
5,-2,21
5,-1,20
5,-1,20
5,1,18
5,-1,20
5,0,19
5,2,17
5,0,19
5,1,18
5,1,18
5,0,19
5,0,19
5,1,18
5,1,18
5,0,19
5,1,18
5,-2,21
5,0,19
5,3,16
5,2,17
5,-1,20
5,-1,20
5,1,18
5,1,18
5,-2,21
5,-1,20
5,-1,20
5,1,18
5,1,18
5,1,18
5,1,18
5,0,19
5,2,17
5,-3,22
5,0,19
5,0,19
5,1,18
5,0,19
5,0,19
5,0,19
5,1,18
5,0,19
5,0,19
5,0,19
5,1,18
5,0,19
5,1,18
5,0,19
