Station,Change,Available
2,0,27
2,1,26
2,-1,28
2,-1,28
2,2,25
2,-2,29
2,1,26
2,1,26
2,1,26
2,0,27
2,-1,28
2,1,26
2,2,25
2,2,25
2,-1,28
2,0,27
2,-2,29
2,-3,30
2,1,26
2,-1,28
2,-1,28
2,-2,29
2,-1,28
2,4,23
2,1,26
2,1,26
2,-3,30
2,2,25
2,-1,28
2,-2,29
2,2,25
2,-1,28
2,1,26
2,1,26
2,-2,29
2,-1,28
2,1,26
2,-6,33
2,-1,28
2,0,27
2,2,25
2,3,24
2,2,25
2,-4,31
2,2,25
2,1,26
2,-3,30
2,0,27
2,2,25
2,2,25
2,0,27
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-5,32
2,-1,28
2,1,26
2,4,23
2,2,25
2,0,27
2,-1,28
2,1,26
2,2,25
2,-3,30
2,-1,28
2,3,24
2,-3,30
2,1,26
2,-1,28
2,0,27
2,-1,28
2,1,26
2,1,26
2,-2,29
2,-1,28
2,-1,28
2,2,25
2,0,27
2,0,27
2,-1,28
2,1,26
2,1,26
2,-1,28
2,1,26
2,-2,29
2,-4,31
2,-2,29
2,1,26
2,1,26
2,5,22
2,0,27
2,1,26
2,-1,28
2,-1,28
2,1,26
2,-3,30
2,-1,28
2,-1,28
2,1,26
2,1,26
2,2,25
2,-1,28
2,-2,29
2,1,26
2,2,25
2,-1,28
2,1,26
2,2,25
2,-4,31
2,-2,29
2,-1,28
2,-1,28
2,2,25
2,-1,28
2,2,25
2,-1,28
2,1,26
2,1,26
2,-1,28
2,-1,28
2,-5,32
2,3,24
2,3,24
2,-2,29
2,2,25
2,0,27
2,1,26
2,1,26
2,-1,28
2,0,27
2,-1,28
2,0,27
2,-1,28
2,-1,28
2,-3,30
2,-2,29
2,3,24
2,3,24
2,1,26
2,-1,28
2,2,25
2,-1,28
2,1,26
2,-5,32
2,1,26
2,1,26
2,1,26
2,-1,28
2,1,26
2,4,23
2,-2,29
2,-1,28
2,1,26
2,-1,28
2,0,27
2,-5,32
2,0,27
2,1,26
2,2,25
2,2,25
2,-2,29
2,0,27
2,-2,29
2,1,26
2,0,27
2,1,26
2,-1,28
2,-5,32
2,-1,28
2,6,21
2,2,25
2,0,27
2,0,27
2,-2,29
2,1,26
2,1,26
2,-2,29
2,1,26
2,-1,28
2,-1,28
2,1,26
2,2,25
2,1,26
2,-2,29
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-2,29
2,2,25
2,1,26
2,1,26
2,2,25
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,-3,30
2,-1,28
2,4,23
2,0,27
2,1,26
2,-1,28
2,1,26
2,0,27
2,1,26
2,1,26
2,0,27
2,-5,32
2,2,25
2,-3,30
2,0,27
2,1,26
2,1,26
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,-4,31
2,-3,30
2,-1,28
2,1,26
2,-1,28
2,3,24
2,3,24
2,0,27
2,1,26
2,-1,28
2,1,26
2,-4,31
2,-2,29
2,-2,29
2,0,27
2,-1,28
2,4,23
2,2,25
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,1,26
2,1,26
2,-2,29
2,-1,28
2,0,27
2,4,23
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,0,27
2,-1,28
2,-1,28
2,-2,29
2,1,26
2,2,25
2,0,27
2,-1,28
2,-1,28
2,1,26
2,0,27
2,-4,31
2,-2,29
2,-1,28
2,1,26
2,-2,29
2,1,26
2,4,23
2,-1,28
2,-1,28
2,-1,28
2,-2,29
2,1,26
2,-1,28
2,-4,31
2,-2,29
2,5,22
2,3,24
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,-3,30
2,-3,30
2,-3,30
2,-2,29
2,1,26
2,2,25
2,4,23
2,1,26
2,0,27
2,1,26
2,1,26
2,1,26
2,-3,30
2,-5,32
2,-1,28
2,-2,29
2,4,23
2,1,26
2,-1,28
2,-2,29
2,-1,28
2,1,26
2,-2,29
2,-6,33
2,-1,28
2,-1,28
2,2,25
2,3,24
2,-2,29
2,-1,28
2,1,26
2,0,27
2,-1,28
2,0,27
2,-1,28
2,1,26
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,2,25
2,1,26
2,0,27
2,1,26
2,-1,28
2,1,26
2,-2,29
2,1,26
2,-2,29
2,-3,30
2,-2,29
2,4,23
2,3,24
2,0,27
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,-2,29
2,-4,31
2,1,26
2,-3,30
2,1,26
2,6,21
2,-1,28
2,-2,29
2,1,26
2,-2,29
2,1,26
2,0,27
2,-4,31
2,-2,29
2,-1,28
2,1,26
2,6,21
2,0,27
2,-1,28
2,-2,29
2,4,23
2,1,26
2,1,26
2,-2,29
2,-3,30
2,-4,31
2,4,23
2,0,27
2,2,25
2,-2,29
2,0,27
2,-1,28
2,1,26
2,0,27
2,-1,28
2,-2,29
2,-1,28
2,-1,28
2,1,26
2,1,26
2,2,25
2,0,27
2,1,26
2,-1,28
2,1,26
2,-1,28
2,1,26
2,0,27
2,-3,30
2,-1,28
2,-2,29
2,0,27
2,-1,28
2,3,24
2,1,26
2,1,26
2,-1,28
2,-6,33
2,1,26
2,1,26
2,3,24
2,0,27
2,-1,28
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-5,32
2,-1,28
2,1,26
2,4,23
2,3,24
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,1,26
2,-4,31
2,-5,32
2,-1,28
2,-3,30
2,-1,28
2,1,26
2,2,25
2,5,22
2,1,26
2,0,27
2,1,26
2,1,26
2,1,26
2,-2,29
2,-4,31
2,1,26
2,-1,28
2,-1,28
2,-2,29
2,5,22
2,4,23
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,1,26
2,1,26
2,-1,28
2,-6,33
2,1,26
2,-1,28
2,-2,29
2,-1,28
2,-1,28
2,5,22
2,3,24
2,1,26
2,1,26
2,-1,28
2,1,26
2,-3,30
2,1,26
2,-1,28
2,0,27
2,1,26
2,0,27
2,1,26
2,-2,29
2,-3,30
2,5,22
2,-1,28
2,1,26
2,0,27
2,2,25
2,0,27
2,-3,30
2,-2,29
2,0,27
2,-1,28
2,-1,28
2,3,24
2,2,25
2,0,27
2,-2,29
2,1,26
2,1,26
2,-1,28
2,2,25
2,1,26
2,-4,31
2,1,26
2,3,24
2,3,24
2,-3,30
2,1,26
2,-1,28
2,-1,28
2,0,27
2,-2,29
2,-2,29
2,-1,28
2,0,27
2,-1,28
2,4,23
2,1,26
2,-1,28
2,2,25
2,-1,28
2,1,26
2,2,25
2,0,27
2,-5,32
2,-2,29
2,-1,28
2,1,26
2,1,26
2,6,21
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,2,25
2,-1,28
2,-1,28
2,-6,33
2,0,27
2,-1,28
2,1,26
2,1,26
2,2,25
2,-1,28
2,1,26
2,2,25
2,1,26
2,1,26
2,1,26
2,-2,29
2,-2,29
2,1,26
2,1,26
2,1,26
2,-1,28
2,-2,29
2,1,26
2,2,25
2,2,25
2,0,27
2,-2,29
2,-2,29
2,-1,28
2,1,26
2,2,25
2,5,22
2,1,26
2,-2,29
2,1,26
2,-1,28
2,1,26
2,1,26
2,-1,28
2,-2,29
2,-1,28
2,-1,28
2,3,24
2,0,27
2,1,26
2,-3,30
2,1,26
2,1,26
2,2,25
2,-4,31
2,-1,28
2,-4,31
2,1,26
2,-1,28
2,1,26
2,2,25
2,2,25
2,0,27
2,-1,28
2,2,25
2,1,26
2,-1,28
2,0,27
2,0,27
2,-2,29
2,0,27
2,2,25
2,2,25
2,2,25
2,-1,28
2,-1,28
2,0,27
2,-1,28
2,-1,28
2,1,26
2,-2,29
2,-2,29
2,-2,29
2,-2,29
2,-1,28
2,1,26
2,4,23
2,2,25
2,1,26
2,-1,28
2,-2,29
2,-1,28
2,1,26
2,-1,28
2,1,26
2,1,26
2,1,26
2,-2,29
2,1,26
2,-1,28
2,1,26
2,2,25
2,-3,30
2,-3,30
2,-1,28
2,0,27
2,-1,28
2,1,26
2,3,24
2,1,26
2,0,27
2,-2,29
2,1,26
2,-1,28
2,1,26
2,1,26
2,0,27
2,-2,29
2,-4,31
2,0,27
2,-3,30
2,3,24
2,-1,28
2,1,26
2,-2,29
2,-1,28
2,1,26
2,-1,28
2,1,26
2,1,26
2,-2,29
2,-1,28
2,0,27
2,-2,29
2,1,26
2,1,26
2,3,24
2,2,25
2,-1,28
2,0,27
2,-2,29
2,1,26
2,2,25
2,-4,31
2,-1,28
2,1,26
2,-3,30
2,1,26
2,2,25
2,2,25
2,0,27
2,-2,29
2,0,27
2,0,27
2,1,26
2,-1,28
2,0,27
2,-1,28
2,-1,28
2,-1,28
2,3,24
2,-1,28
2,1,26
2,1,26
2,-1,28
2,-2,29
2,1,26
2,0,27
2,1,26
2,-2,29
2,-2,29
2,-1,28
2,2,25
2,-2,29
2,1,26
2,1,26
2,-4,31
2,-1,28
2,1,26
2,-1,28
2,-2,29
2,-3,30
2,0,27
2,-2,29
2,2,25
2,4,23
2,2,25
2,-3,30
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,-3,30
2,-2,29
2,-1,28
2,1,26
2,-1,28
2,4,23
2,1,26
2,1,26
2,-3,30
2,0,27
2,1,26
2,0,27
2,-4,31
2,-1,28
2,-4,31
2,1,26
2,6,21
2,-1,28
2,0,27
2,-2,29
2,1,26
2,-1,28
2,1,26
2,0,27
2,-2,29
2,1,26
2,-3,30
2,1,26
2,1,26
2,-2,29
2,7,20
2,-1,28
2,1,26
2,-1,28
2,2,25
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,1,26
2,-4,31
2,-2,29
2,1,26
2,-1,28
2,3,24
2,0,27
2,-1,28
2,-1,28
2,1,26
2,1,26
2,1,26
2,-1,28
2,-4,31
2,-1,28
2,-2,29
2,1,26
2,2,25
2,3,24
2,0,27
2,-2,29
2,1,26
2,1,26
2,-1,28
2,-1,28
2,-2,29
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,4,23
2,0,27
2,2,25
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,-2,29
2,-2,29
2,-1,28
2,-1,28
2,5,22
2,2,25
2,1,26
2,-2,29
2,-1,28
2,1,26
2,-4,31
2,-3,30
2,-1,28
2,-1,28
2,1,26
2,2,25
2,3,24
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-2,29
2,1,26
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,1,26
2,0,27
2,1,26
2,2,25
2,-2,29
2,-3,30
2,1,26
2,-1,28
2,-1,28
2,4,23
2,1,26
2,-2,29
2,-1,28
2,1,26
2,-1,28
2,0,27
2,-3,30
2,-2,29
2,1,26
2,2,25
2,5,22
2,2,25
2,0,27
2,-2,29
2,-1,28
2,2,25
2,0,27
2,-1,28
2,1,26
2,-1,28
2,0,27
2,-1,28
2,4,23
2,0,27
2,0,27
2,0,27
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,1,26
2,-1,28
2,0,27
2,1,26
2,-2,29
2,1,26
2,-2,29
2,1,26
2,3,24
2,2,25
2,-4,31
2,-1,28
2,-1,28
2,-2,29
2,2,25
2,6,21
2,0,27
2,-1,28
2,1,26
2,1,26
2,-2,29
2,-1,28
2,2,25
2,1,26
2,-1,28
2,-2,29
2,0,27
2,-2,29
2,-1,28
2,-1,28
2,5,22
2,1,26
2,-4,31
2,-3,30
2,-1,28
2,1,26
2,1,26
2,1,26
2,-5,32
2,-1,28
2,-1,28
2,-1,28
2,7,20
2,-1,28
2,3,24
2,-1,28
2,1,26
2,-1,28
2,2,25
2,0,27
2,1,26
2,-3,30
2,-2,29
2,-3,30
2,6,21
2,0,27
2,-2,29
2,0,27
2,0,27
2,1,26
2,-3,30
2,-3,30
2,0,27
2,-2,29
2,1,26
2,3,24
2,3,24
2,3,24
2,-2,29
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,2,25
2,-1,28
2,-1,28
2,1,26
2,1,26
2,0,27
2,-4,31
2,-3,30
2,-1,28
2,1,26
2,5,22
2,-2,29
2,1,26
2,-1,28
2,0,27
2,1,26
2,-1,28
2,1,26
2,1,26
2,1,26
2,-2,29
2,-1,28
2,-2,29
2,3,24
2,0,27
2,0,27
2,-1,28
2,0,27
2,-1,28
2,2,25
2,-1,28
2,-2,29
2,-4,31
2,-1,28
2,1,26
2,-2,29
2,7,20
2,1,26
2,1,26
2,-1,28
2,1,26
2,2,25
2,-5,32
2,-2,29
2,1,26
2,4,23
2,0,27
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,0,27
2,1,26
2,-3,30
2,-1,28
2,1,26
2,3,24
2,-1,28
2,-2,29
2,1,26
2,2,25
2,0,27
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,1,26
2,-3,30
2,2,25
2,1,26
2,1,26
2,-1,28
2,-1,28
2,-6,33
2,-1,28
2,-1,28
2,8,19
2,1,26
2,-1,28
2,1,26
2,-2,29
2,-4,31
2,-2,29
2,3,24
2,4,23
2,1,26
2,-2,29
2,-1,28
2,-2,29
2,-4,31
2,-3,30
2,-1,28
2,1,26
2,2,25
2,1,26
2,1,26
2,-2,29
2,1,26
2,1,26
2,1,26
2,-3,30
2,-3,30
2,-1,28
2,-1,28
2,4,23
2,1,26
2,-2,29
2,-1,28
2,-1,28
2,1,26
2,-3,30
2,-3,30
2,-2,29
2,-3,30
2,-1,28
2,1,26
2,6,21
2,-1,28
2,-5,32
2,5,22
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,1,26
2,-1,28
2,-4,31
2,1,26
2,-1,28
2,1,26
2,1,26
2,2,25
2,1,26
2,-2,29
2,1,26
2,-1,28
2,-1,28
2,2,25
2,-1,28
2,1,26
2,-1,28
2,1,26
2,1,26
2,1,26
2,-1,28
2,0,27
2,1,26
2,-1,28
2,1,26
2,-1,28
2,-1,28
2,-1,28
2,1,26
