Trip ID,Duration,Start Date,End Date,Start Station Id,End Station Id,Day
4576,63,8/29/2013 14:13,8/29/2013 14:14,66,66,3
4607,70,8/29/2013 14:42,8/29/2013 14:43,10,10,3
4130,71,8/29/2013 10:16,8/29/2013 10:17,27,27,3
4251,77,8/29/2013 11:29,8/29/2013 11:30,10,10,3
4299,83,8/29/2013 12:02,8/29/2013 12:04,66,67,3
4927,103,8/29/2013 18:54,8/29/2013 18:56,59,59,3
4500,109,8/29/2013 13:25,8/29/2013 13:27,4,5,3
4563,111,8/29/2013 14:02,8/29/2013 14:04,8,8,3
4760,113,8/29/2013 17:01,8/29/2013 17:03,66,66,3
4258,114,8/29/2013 11:33,8/29/2013 11:35,10,11,3
4549,125,8/29/2013 13:52,8/29/2013 13:55,49,54,3
4498,126,8/29/2013 13:23,8/29/2013 13:25,6,4,3
4965,129,8/29/2013 19:32,8/29/2013 19:35,28,28,3
4557,130,8/29/2013 13:57,8/29/2013 13:59,64,64,3
4386,134,8/29/2013 12:31,8/29/2013 12:33,41,56,3
4749,138,8/29/2013 16:57,8/29/2013 16:59,47,47,3
4242,141,8/29/2013 11:25,8/29/2013 11:27,10,10,3
4329,142,8/29/2013 12:11,8/29/2013 12:14,67,67,3
5097,142,8/29/2013 22:21,8/29/2013 22:24,74,50,3
5084,144,8/29/2013 22:06,8/29/2013 22:08,39,76,3
4982,146,8/29/2013 19:42,8/29/2013 19:44,49,54,3
4417,148,8/29/2013 12:45,8/29/2013 12:48,22,22,3
4265,151,8/29/2013 11:40,8/29/2013 11:42,58,58,3
5093,160,8/29/2013 22:12,8/29/2013 22:14,47,77,3
4168,161,8/29/2013 10:56,8/29/2013 10:59,56,74,3
4550,163,8/29/2013 13:53,8/29/2013 13:56,9,9,3
4533,165,8/29/2013 13:43,8/29/2013 13:46,55,51,3
4510,166,8/29/2013 13:31,8/29/2013 13:34,3,8,3
5070,168,8/29/2013 21:43,8/29/2013 21:46,66,66,3
4917,169,8/29/2013 18:45,8/29/2013 18:48,26,25,3
4276,173,8/29/2013 11:45,8/29/2013 11:48,61,64,3
4378,173,8/29/2013 12:27,8/29/2013 12:30,72,72,3
4069,174,8/29/2013 9:08,8/29/2013 9:11,64,64,3
4625,175,8/29/2013 15:02,8/29/2013 15:05,58,66,3
4086,178,8/29/2013 9:42,8/29/2013 9:45,45,45,3
5088,183,8/29/2013 22:08,8/29/2013 22:12,76,47,3
4721,184,8/29/2013 16:27,8/29/2013 16:30,67,66,3
4636,186,8/29/2013 15:11,8/29/2013 15:14,62,61,3
4812,186,8/29/2013 17:30,8/29/2013 17:33,62,62,3
4720,188,8/29/2013 16:27,8/29/2013 16:30,67,66,3
4798,188,8/29/2013 17:22,8/29/2013 17:25,39,76,3
4944,188,8/29/2013 19:06,8/29/2013 19:10,41,46,3
4400,189,8/29/2013 12:39,8/29/2013 12:42,46,41,3
4606,191,8/29/2013 14:38,8/29/2013 14:42,10,10,3
4705,193,8/29/2013 16:15,8/29/2013 16:18,59,58,3
4841,197,8/29/2013 17:48,8/29/2013 17:51,35,37,3
4704,204,8/29/2013 16:15,8/29/2013 16:18,59,58,3
4824,207,8/29/2013 17:38,8/29/2013 17:42,67,66,3
4854,209,8/29/2013 17:57,8/29/2013 18:00,68,57,3
4502,210,8/29/2013 13:28,8/29/2013 13:31,5,3,3
4638,211,8/29/2013 15:17,8/29/2013 15:21,74,50,3
4855,214,8/29/2013 17:57,8/29/2013 18:00,68,57,3
4994,214,8/29/2013 19:54,8/29/2013 19:57,71,76,3
4459,215,8/29/2013 13:08,8/29/2013 13:11,67,72,3
5074,216,8/29/2013 21:45,8/29/2013 21:49,69,69,3
4081,218,8/29/2013 9:38,8/29/2013 9:41,27,27,3
4337,219,8/29/2013 12:13,8/29/2013 12:16,73,45,3
4401,222,8/29/2013 12:39,8/29/2013 12:43,48,50,3
4411,223,8/29/2013 12:40,8/29/2013 12:43,61,69,3
4467,225,8/29/2013 13:11,8/29/2013 13:15,75,41,3
4765,228,8/29/2013 17:05,8/29/2013 17:08,66,67,3
5001,236,8/29/2013 20:00,8/29/2013 20:04,62,77,3
5002,236,8/29/2013 20:01,8/29/2013 20:05,59,66,3
4560,237,8/29/2013 13:58,8/29/2013 14:02,66,58,3
4592,239,8/29/2013 14:30,8/29/2013 14:34,47,77,3
4673,239,8/29/2013 15:48,8/29/2013 15:52,70,65,3
4714,240,8/29/2013 16:21,8/29/2013 16:25,11,12,3
4748,240,8/29/2013 16:56,8/29/2013 17:00,50,56,3
4317,241,8/29/2013 12:07,8/29/2013 12:11,58,66,3
4559,242,8/29/2013 13:58,8/29/2013 14:02,66,58,3
4880,242,8/29/2013 18:10,8/29/2013 18:14,41,46,3
4668,243,8/29/2013 15:39,8/29/2013 15:43,69,65,3
4667,244,8/29/2013 15:39,8/29/2013 15:43,69,65,3
4443,245,8/29/2013 12:56,8/29/2013 13:00,77,74,3
5105,245,8/29/2013 23:12,8/29/2013 23:16,65,70,3
4341,252,8/29/2013 12:13,8/29/2013 12:17,58,66,3
4423,254,8/29/2013 12:50,8/29/2013 12:54,50,41,3
4911,259,8/29/2013 18:38,8/29/2013 18:42,58,66,3
4504,262,8/29/2013 13:29,8/29/2013 13:34,72,67,3
4584,262,8/29/2013 14:17,8/29/2013 14:21,66,66,3
4599,265,8/29/2013 14:31,8/29/2013 14:35,60,42,3
4801,265,8/29/2013 17:24,8/29/2013 17:28,58,58,3
4870,266,8/29/2013 18:06,8/29/2013 18:10,76,56,3
4743,267,8/29/2013 16:51,8/29/2013 16:55,30,28,3
4799,267,8/29/2013 17:19,8/29/2013 17:24,42,74,3
5006,269,8/29/2013 20:09,8/29/2013 20:14,76,71,3
4686,273,8/29/2013 15:59,8/29/2013 16:03,77,55,3
4906,277,8/29/2013 18:28,8/29/2013 18:33,35,37,3
4177,278,8/29/2013 11:03,8/29/2013 11:08,70,64,3
4436,284,8/29/2013 12:55,8/29/2013 13:00,60,48,3
5057,284,8/29/2013 21:10,8/29/2013 21:15,68,77,3
4084,287,8/29/2013 9:41,8/29/2013 9:46,27,27,3
4595,288,8/29/2013 14:31,8/29/2013 14:36,60,42,3
4377,289,8/29/2013 12:27,8/29/2013 12:32,77,55,3
4600,291,8/29/2013 14:33,8/29/2013 14:38,6,10,3
4959,292,8/29/2013 19:18,8/29/2013 19:23,65,69,3
4828,293,8/29/2013 17:41,8/29/2013 17:46,34,35,3
4450,298,8/29/2013 13:01,8/29/2013 13:06,48,42,3
4558,298,8/29/2013 13:57,8/29/2013 14:02,54,50,3
4657,298,8/29/2013 15:30,8/29/2013 15:35,57,57,3
4796,305,8/29/2013 17:22,8/29/2013 17:27,72,76,3
4331,307,8/29/2013 12:12,8/29/2013 12:17,35,37,3
4280,309,8/29/2013 11:53,8/29/2013 11:58,58,66,3
4290,309,8/29/2013 11:58,8/29/2013 12:03,39,67,3
4876,309,8/29/2013 18:09,8/29/2013 18:14,61,69,3
4766,315,8/29/2013 17:05,8/29/2013 17:10,23,23,3
4871,316,8/29/2013 18:06,8/29/2013 18:11,57,70,3
5078,318,8/29/2013 21:53,8/29/2013 21:59,72,39,3
4744,319,8/29/2013 16:52,8/29/2013 16:57,57,70,3
4376,320,8/29/2013 12:27,8/29/2013 12:32,41,50,3
4392,323,8/29/2013 12:34,8/29/2013 12:39,50,48,3
4602,323,8/29/2013 14:34,8/29/2013 14:39,45,42,3
5100,323,8/29/2013 22:50,8/29/2013 22:56,74,49,3
4448,324,8/29/2013 13:01,8/29/2013 13:06,48,42,3
4722,327,8/29/2013 16:32,8/29/2013 16:37,8,3,3
4850,327,8/29/2013 17:53,8/29/2013 17:59,37,35,3
4615,332,8/29/2013 14:55,8/29/2013 15:01,76,63,3
4582,335,8/29/2013 14:14,8/29/2013 14:20,62,62,3
4640,335,8/29/2013 15:19,8/29/2013 15:24,64,70,3
4805,336,8/29/2013 17:26,8/29/2013 17:32,4,10,3
4715,337,8/29/2013 16:23,8/29/2013 16:29,70,65,3
4941,337,8/29/2013 19:05,8/29/2013 19:11,48,50,3
4454,340,8/29/2013 13:05,8/29/2013 13:10,77,46,3
4647,340,8/29/2013 15:26,8/29/2013 15:32,59,39,3
4750,342,8/29/2013 16:57,8/29/2013 17:03,68,39,3
4393,343,8/29/2013 12:34,8/29/2013 12:40,45,77,3
4822,343,8/29/2013 17:37,8/29/2013 17:43,10,6,3
4300,346,8/29/2013 12:03,8/29/2013 12:09,47,50,3
4968,346,8/29/2013 19:35,8/29/2013 19:41,54,49,3
4890,347,8/29/2013 18:13,8/29/2013 18:19,42,56,3
5075,348,8/29/2013 21:47,8/29/2013 21:52,66,72,3
4570,351,8/29/2013 14:06,8/29/2013 14:12,50,46,3
4278,353,8/29/2013 11:52,8/29/2013 11:58,50,45,3
4399,355,8/29/2013 12:39,8/29/2013 12:45,22,26,3
4660,355,8/29/2013 15:32,8/29/2013 15:38,71,47,3
4745,360,8/29/2013 16:52,8/29/2013 16:58,51,55,3
4955,360,8/29/2013 19:15,8/29/2013 19:21,59,67,3
4785,361,8/29/2013 17:13,8/29/2013 17:19,68,70,3
4730,362,8/29/2013 16:37,8/29/2013 16:43,65,70,3
4786,362,8/29/2013 17:14,8/29/2013 17:20,67,59,3
4447,363,8/29/2013 13:00,8/29/2013 13:06,74,49,3
5032,363,8/29/2013 20:33,8/29/2013 20:39,3,6,3
4312,369,8/29/2013 12:06,8/29/2013 12:12,45,75,3
4695,369,8/29/2013 16:05,8/29/2013 16:11,65,70,3
4700,369,8/29/2013 16:12,8/29/2013 16:18,42,73,3
4875,370,8/29/2013 18:08,8/29/2013 18:14,60,42,3
4659,371,8/29/2013 15:32,8/29/2013 15:38,71,47,3
4998,374,8/29/2013 19:57,8/29/2013 20:04,50,49,3
4496,375,8/29/2013 13:19,8/29/2013 13:25,65,70,3
4716,375,8/29/2013 16:24,8/29/2013 16:30,70,65,3
4527,376,8/29/2013 13:39,8/29/2013 13:45,68,39,3
4612,376,8/29/2013 14:46,8/29/2013 14:53,13,9,3
4204,378,8/29/2013 11:06,8/29/2013 11:13,10,10,3
4731,378,8/29/2013 16:36,8/29/2013 16:43,56,45,3
4883,378,8/29/2013 18:12,8/29/2013 18:18,76,63,3
4517,379,8/29/2013 13:34,8/29/2013 13:41,8,10,3
4429,380,8/29/2013 12:53,8/29/2013 13:00,60,48,3
4699,380,8/29/2013 16:12,8/29/2013 16:18,42,73,3
4434,384,8/29/2013 12:55,8/29/2013 13:01,68,69,3
4408,385,8/29/2013 12:41,8/29/2013 12:48,57,71,3
4961,387,8/29/2013 19:21,8/29/2013 19:28,55,57,3
5099,387,8/29/2013 22:35,8/29/2013 22:41,3,2,3
4725,388,8/29/2013 16:34,8/29/2013 16:41,54,74,3
4347,389,8/29/2013 12:15,8/29/2013 12:21,10,6,3
5095,390,8/29/2013 22:15,8/29/2013 22:21,77,74,3
5102,392,8/29/2013 22:53,8/29/2013 23:00,70,63,3
4414,393,8/29/2013 12:44,8/29/2013 12:50,69,69,3
5050,396,8/29/2013 21:01,8/29/2013 21:07,39,72,3
4334,398,8/29/2013 12:12,8/29/2013 12:19,77,50,3
4385,398,8/29/2013 12:30,8/29/2013 12:37,72,59,3
4981,399,8/29/2013 19:41,8/29/2013 19:47,66,67,3
5062,402,8/29/2013 21:27,8/29/2013 21:34,47,63,3
4970,404,8/29/2013 19:36,8/29/2013 19:43,57,71,3
4458,405,8/29/2013 13:05,8/29/2013 13:12,71,71,3
4879,405,8/29/2013 18:10,8/29/2013 18:17,47,50,3
4999,405,8/29/2013 19:58,8/29/2013 20:04,50,49,3
4751,406,8/29/2013 16:57,8/29/2013 17:04,58,39,3
4996,410,8/29/2013 19:57,8/29/2013 20:04,77,45,3
4616,412,8/29/2013 14:56,8/29/2013 15:02,13,9,3
4741,412,8/29/2013 16:45,8/29/2013 16:52,5,10,3
4910,412,8/29/2013 18:37,8/29/2013 18:43,37,34,3
4655,413,8/29/2013 15:29,8/29/2013 15:36,73,46,3
4542,416,8/29/2013 13:49,8/29/2013 13:56,45,42,3
4348,418,8/29/2013 12:14,8/29/2013 12:21,55,77,3
4435,418,8/29/2013 12:55,8/29/2013 13:02,68,46,3
4465,419,8/29/2013 13:11,8/29/2013 13:18,64,47,3
4810,419,8/29/2013 17:30,8/29/2013 17:37,76,72,3
4641,420,8/29/2013 15:19,8/29/2013 15:26,39,70,3
4571,421,8/29/2013 14:07,8/29/2013 14:14,42,45,3
5077,422,8/29/2013 21:47,8/29/2013 21:54,77,42,3
4309,423,8/29/2013 12:04,8/29/2013 12:11,74,51,3
4953,423,8/29/2013 19:14,8/29/2013 19:21,41,76,3
5067,423,8/29/2013 21:38,8/29/2013 21:45,70,69,3
4830,424,8/29/2013 17:42,8/29/2013 17:49,49,68,3
4464,425,8/29/2013 13:09,8/29/2013 13:16,69,65,3
4529,425,8/29/2013 13:40,8/29/2013 13:47,63,49,3
4296,430,8/29/2013 12:00,8/29/2013 12:08,47,64,3
4784,430,8/29/2013 17:13,8/29/2013 17:20,67,59,3
5004,430,8/29/2013 20:05,8/29/2013 20:12,42,77,3
4455,431,8/29/2013 13:05,8/29/2013 13:12,66,39,3
5061,433,8/29/2013 21:23,8/29/2013 21:30,45,76,3
4689,436,8/29/2013 16:01,8/29/2013 16:08,60,50,3
4904,436,8/29/2013 18:26,8/29/2013 18:34,56,54,3
5060,436,8/29/2013 21:22,8/29/2013 21:30,45,76,3
4783,438,8/29/2013 17:13,8/29/2013 17:20,67,59,3
4679,440,8/29/2013 15:54,8/29/2013 16:02,59,72,3
5013,440,8/29/2013 20:13,8/29/2013 20:20,59,66,3
5073,440,8/29/2013 21:44,8/29/2013 21:52,74,54,3
4445,441,8/29/2013 12:58,8/29/2013 13:06,50,47,3
4343,445,8/29/2013 12:14,8/29/2013 12:21,50,63,3
5015,449,8/29/2013 20:13,8/29/2013 20:21,59,66,3
