,0
"(57, 50)",2152
"(39, 70)",1649
"(63, 76)",1453
"(73, 82)",626
"(36, 34)",2889
"(41, 57)",2712
"(80, 12)",3455
"(41, 74)",657
"(45, 61)",2997
"(66, 66)",0
"(49, 58)",4056
"(3, 2)",1530
"(77, 55)",863
"(82, 66)",4897
"(57, 59)",1672
"(48, 77)",1495
"(65, 50)",3473
"(72, 67)",622
"(80, 3)",4453
"(61, 63)",1013
"(9, 9)",0
"(66, 42)",3611
"(69, 47)",2246
"(24, 21)",423
"(45, 54)",2045
"(49, 51)",301
"(13, 13)",0
"(3, 11)",1409
"(77, 48)",1811
"(82, 61)",2921
"(45, 71)",1142
"(57, 60)",3603
"(48, 68)",2329
"(72, 74)",2722
"(54, 46)",2737
"(61, 56)",1919
"(83, 23)",792
"(73, 45)",1086
"(42, 74)",697
"(45, 47)",714
"(13, 6)",579
"(70, 57)",1255
"(77, 41)",1036
"(45, 64)",1781
"(70, 72)",2217
"(57, 69)",1147
"(7, 4)",1020
"(73, 69)",4137
"(61, 49)",1585
"(66, 60)",4815
"(51, 71)",1978
"(76, 69)",1690
"(62, 48)",2434
"(49, 45)",1771
"(70, 48)",3507
"(74, 63)",1135
"(82, 47)",1964
"(70, 67)",2878
"(58, 68)",2533
"(16, 11)",1135
"(54, 56)",1850
"(58, 55)",3229
"(61, 74)",2036
"(66, 55)",3493
"(51, 76)",1767
"(77, 74)",805
"(42, 60)",1208
"(62, 59)",2717
"(10, 5)",1078
"(67, 76)",1689
"(55, 72)",2278
"(50, 63)",1483
"(71, 72)",1373
"(4, 7)",1035
"(80, 80)",0
"(46, 51)",1999
"(16, 2)",2803
"(54, 51)",941
"(58, 62)",2628
"(61, 67)",3472
"(77, 67)",2053
"(42, 39)",2005
"(10, 12)",578
"(55, 65)",3428
"(25, 22)",1024
"(50, 54)",1296
"(71, 65)",2817
"(4, 14)",621
"(46, 58)",3115
"(51, 45)",1521
"(58, 57)",1524
"(55, 41)",937
"(59, 42)",3258
"(42, 46)",707
"(67, 58)",270
"(50, 49)",1063
"(71, 62)",1321
"(75, 59)",2330
"(46, 61)",3392
"(29, 27)",3420
"(51, 50)",585
"(42, 41)",663
"(23, 25)",740
"(49, 73)",2538
"(64, 69)",937
"(63, 55)",1144
"(14, 2)",470
"(71, 55)",1619
"(75, 48)",1570
"(46, 68)",2119
"(67, 45)",2871
"(51, 59)",3321
"(62, 68)",564
"(47, 47)",0
"(55, 63)",434
"(59, 56)",2585
"(23, 22)",689
"(64, 45)",2142
"(49, 66)",3703
"(63, 60)",2831
"(11, 10)",546
"(14, 5)",1076
"(75, 41)",843
"(47, 71)",635
"(5, 4)",587
"(65, 71)",2610
"(59, 49)",3415
