time,lat,lng
08/29/13 10:17:00,"37.7710077,37.7710077","-122.4026538,-122.4026538"
08/29/13 10:17:10,"37.7711092415,37.7713123245","-122.402790426,-122.403063679"
08/29/13 10:17:20,"37.771210783,37.7714646367","-122.402927053,-122.403268618"
08/29/13 10:17:30,"37.7713123245,37.771616949","-122.403063679,-122.403473557"
08/29/13 10:17:40,"37.771413866,37.7719215735","-122.403200305,-122.403883436"
08/29/13 10:17:50,"37.7715154075,37.7720738858","-122.403336931,-122.404088375"
08/29/13 10:18:00,"37.771616949,37.772226198","-122.403473557,-122.404293314"
08/29/13 10:18:10,"37.7717692613,37.7725308225","-122.403678496,-122.404703193"
08/29/13 10:18:20,"37.7719215735,37.772835447","-122.403883436,-122.405113072"
08/29/13 10:18:30,"37.772023115,37.7729877593","-122.404020062,-122.405318011"
08/29/13 10:18:40,"37.7721246565,37.7731400715","-122.404156688,-122.40552295"
08/29/13 10:18:50,"37.772226198,37.773444696","-122.404293314,-122.405932829"
08/29/13 10:19:00,"37.7723277395,37.7737493206","-122.40442994,-122.406342707"
08/29/13 10:19:10,"37.772429281,37.7739016328","-122.404566567,-122.406547647"
08/29/13 10:19:20,"37.7725308225,37.7740539451","-122.404703193,-122.406752586"
08/29/13 10:19:30,"37.772632364,37.7743585696","-122.404839819,-122.407162465"
08/29/13 10:19:40,"37.7727339055,37.7745108818","-122.404976446,-122.407367404"
08/29/13 10:19:50,"37.772835447,37.7746631941","-122.405113072,-122.407572343"
08/29/13 10:20:00,"37.7729877593,37.7749678186","-122.405318011,-122.407982222"
08/29/13 10:20:10,"37.7731400715,37.7752724431","-122.40552295,-122.4083921"
08/29/13 10:20:20,"37.773241613,37.7754247554","-122.405659576,-122.408597039"
08/29/13 10:20:30,"37.7733431545,37.7755770676","-122.405796203,-122.408801979"
08/29/13 10:20:40,"37.773444696,37.7758816921","-122.405932829,-122.409211858"
08/29/13 10:20:50,"37.7735462375,37.7761863166","-122.406069455,-122.409621736"
08/29/13 10:21:00,"37.7736477791,37.7763386288","-122.406206081,-122.409826675"
08/29/13 10:21:10,"37.7737493206,37.7764909411","-122.406342707,-122.410031615"
08/29/13 10:21:20,"37.7738508621,37.7767955656","-122.406479333,-122.410441493"
08/29/13 10:21:30,"37.7739524036,37.7769478778","-122.40661596,-122.410646432"
08/29/13 10:21:40,"37.7740539451,37.7771001901","-122.406752586,-122.410851372"
08/29/13 10:21:50,"37.7742062574,37.7774048146","-122.406957525,-122.411261251"
08/29/13 10:22:00,"37.7743585696,37.7777094391","-122.407162465,-122.411671129"
08/29/13 10:22:10,"37.7744601111,37.7778617514","-122.407299091,-122.411876068"
08/29/13 10:22:20,"37.7745616526,37.7780140636","-122.407435717,-122.412081008"
08/29/13 10:22:30,"37.7746631941,37.7783186881","-122.407572343,-122.412490886"
08/29/13 10:22:40,"37.7747647356,37.7784710003","-122.407708969,-122.412695826"
08/29/13 10:22:50,"37.7748662771,37.7786233126","-122.407845596,-122.412900765"
08/29/13 10:23:00,"37.7749678186,37.7789279372","-122.407982222,-122.413310644"
08/29/13 10:23:10,"37.7750693601,37.7792325617","-122.408118848,-122.413720522"
08/29/13 10:23:20,"37.7751709016,37.779384874","-122.408255474,-122.413925461"
08/29/13 10:23:30,"37.7752724431,37.7795371862","-122.4083921,-122.414130401"
08/29/13 10:23:40,"37.7753739846,37.7798418107","-122.408528726,-122.414540279"
08/29/13 10:23:50,"37.7754755261,37.7801464352","-122.408665353,-122.414950158"
08/29/13 10:24:00,"37.7755770676,37.7802987475","-122.408801979,-122.415155097"
08/29/13 10:24:10,"37.7757293798,37.7804510597","-122.409006919,-122.415360037"
08/29/13 10:24:20,"37.7758816921,37.7807556842","-122.409211858,-122.415769915"
