Trip ID,Duration,Start Date,startStationId,endStationId,distance
4133,1965,8/29/13 10:17,69,39,1540
4282,572,8/29/13 11:54,70,65,940
4284,1281,8/29/13 11:55,50,60,1337
4292,1373,8/29/13 11:59,50,60,1337
4293,1346,8/29/13 12:00,50,60,1337
4346,724,8/29/13 12:14,51,70,2031
4406,687,8/29/13 12:41,74,60,1474
4407,690,8/29/13 12:41,74,60,1474
4460,693,8/29/13 13:08,61,50,1995
4464,425,8/29/13 13:09,69,65,831
4496,375,8/29/13 13:19,65,70,940
4497,954,8/29/13 13:19,50,70,2586
4546,1288,8/29/13 13:52,74,60,1474
4562,696,8/29/13 14:00,50,61,1995
4586,748,8/29/13 14:17,69,39,1540
4587,519,8/29/13 14:21,69,39,1540
4623,1445,8/29/13 15:01,60,74,1474
4626,624,8/29/13 15:02,70,68,1254
4628,611,8/29/13 15:03,70,68,1254
4635,999,8/29/13 15:09,60,74,1474
4656,1306,8/29/13 15:29,50,70,2586
4653,1349,8/29/13 15:29,50,70,2586
4661,563,8/29/13 15:33,60,74,1474
4666,475,8/29/13 15:36,60,50,1338
4668,243,8/29/13 15:39,69,65,831
4667,244,8/29/13 15:39,69,65,831
4672,1251,8/29/13 15:44,50,70,2586
4673,239,8/29/13 15:48,70,65,940
4689,436,8/29/13 16:01,60,50,1338
4691,553,8/29/13 16:01,65,70,940
4690,918,8/29/13 16:01,50,60,1337
4695,369,8/29/13 16:05,65,70,940
4715,337,8/29/13 16:23,70,65,940
4716,375,8/29/13 16:24,70,65,940
4730,362,8/29/13 16:37,65,70,940
4742,914,8/29/13 16:47,74,70,2453
4744,319,8/29/13 16:52,57,70,1256
4833,543,8/29/13 17:45,70,77,2040
4834,579,8/29/13 17:45,70,51,2031
4837,466,8/29/13 17:46,70,65,940
4871,316,8/29/13 18:06,57,70,1256
4926,941,8/29/13 18:53,57,70,1256
4925,943,8/29/13 18:53,57,70,1256
4942,486,8/29/13 19:05,69,65,831
4991,902,8/29/13 19:48,67,76,1546
5001,236,8/29/13 20:00,62,77,703
5012,812,8/29/13 20:13,50,60,1337
5011,834,8/29/13 20:13,50,60,1337
5105,245,8/29/13 23:12,65,70,940
5116,673,8/30/13 5:11,70,74,2453
