tripID,startTime,duration,startStationId,endStationId,mileStoneTimes
4133,8/29/13 10:17,1965,69,39,"['08/29/13 10:17:00', '08/29/13 10:17:50', '08/29/13 10:18:50', '08/29/13 10:19:40', '08/29/13 10:20:30', '08/29/13 10:21:30', '08/29/13 10:22:20', '08/29/13 10:23:10', '08/29/13 10:24:00', '08/29/13 10:25:00', '08/29/13 10:25:50', '08/29/13 10:26:40', '08/29/13 10:27:40', '08/29/13 10:28:30', '08/29/13 10:29:20', '08/29/13 10:30:20', '08/29/13 10:31:10', '08/29/13 10:32:00', '08/29/13 10:33:00', '08/29/13 10:33:50', '08/29/13 10:34:40', '08/29/13 10:35:40', '08/29/13 10:36:30', '08/29/13 10:37:20', '08/29/13 10:38:10', '08/29/13 10:39:10', '08/29/13 10:40:00', '08/29/13 10:40:50', '08/29/13 10:41:50', '08/29/13 10:42:40', '08/29/13 10:43:30', '08/29/13 10:44:30', '08/29/13 10:45:20', '08/29/13 10:46:10', '08/29/13 10:47:10', '08/29/13 10:48:00', '08/29/13 10:48:50']"
4282,8/29/13 11:54,572,70,65,"['08/29/13 11:54:00', '08/29/13 11:54:30', '08/29/13 11:55:00', '08/29/13 11:55:30', '08/29/13 11:55:50', '08/29/13 11:56:20', '08/29/13 11:56:50', '08/29/13 11:57:20', '08/29/13 11:57:50', '08/29/13 11:58:20', '08/29/13 11:58:50', '08/29/13 11:59:10', '08/29/13 11:59:40', '08/29/13 12:00:10', '08/29/13 12:00:40', '08/29/13 12:01:10', '08/29/13 12:01:40', '08/29/13 12:02:10', '08/29/13 12:02:30', '08/29/13 12:03:00']"
4284,8/29/13 11:55,1281,50,60,"['08/29/13 11:55:00', '08/29/13 11:55:40', '08/29/13 11:56:30', '08/29/13 11:57:10', '08/29/13 11:57:50', '08/29/13 11:58:30', '08/29/13 11:59:20', '08/29/13 12:00:00', '08/29/13 12:00:40', '08/29/13 12:01:20', '08/29/13 12:02:10', '08/29/13 12:02:50', '08/29/13 12:03:30', '08/29/13 12:04:20', '08/29/13 12:05:00', '08/29/13 12:05:40', '08/29/13 12:06:20', '08/29/13 12:07:10', '08/29/13 12:07:50', '08/29/13 12:08:30', '08/29/13 12:09:10', '08/29/13 12:10:00', '08/29/13 12:10:40', '08/29/13 12:11:20', '08/29/13 12:12:00', '08/29/13 12:12:50', '08/29/13 12:13:30', '08/29/13 12:14:10', '08/29/13 12:15:00', '08/29/13 12:15:40']"
4292,8/29/13 11:59,1373,50,60,"['08/29/13 11:59:00', '08/29/13 11:59:50', '08/29/13 12:00:30', '08/29/13 12:01:20', '08/29/13 12:02:00', '08/29/13 12:02:50', '08/29/13 12:03:30', '08/29/13 12:04:20', '08/29/13 12:05:10', '08/29/13 12:05:50', '08/29/13 12:06:40', '08/29/13 12:07:20', '08/29/13 12:08:10', '08/29/13 12:08:50', '08/29/13 12:09:40', '08/29/13 12:10:30', '08/29/13 12:11:10', '08/29/13 12:12:00', '08/29/13 12:12:40', '08/29/13 12:13:30', '08/29/13 12:14:20', '08/29/13 12:15:00', '08/29/13 12:15:50', '08/29/13 12:16:30', '08/29/13 12:17:20', '08/29/13 12:18:00', '08/29/13 12:18:50', '08/29/13 12:19:40', '08/29/13 12:20:20', '08/29/13 12:21:10']"
4293,8/29/13 12:00,1346,50,60,"['08/29/13 12:00:00', '08/29/13 12:00:40', '08/29/13 12:01:30', '08/29/13 12:02:10', '08/29/13 12:03:00', '08/29/13 12:03:40', '08/29/13 12:04:30', '08/29/13 12:05:10', '08/29/13 12:06:00', '08/29/13 12:06:40', '08/29/13 12:07:30', '08/29/13 12:08:10', '08/29/13 12:09:00', '08/29/13 12:09:40', '08/29/13 12:10:30', '08/29/13 12:11:10', '08/29/13 12:12:00', '08/29/13 12:12:40', '08/29/13 12:13:30', '08/29/13 12:14:10', '08/29/13 12:15:00', '08/29/13 12:15:40', '08/29/13 12:16:30', '08/29/13 12:17:10', '08/29/13 12:18:00', '08/29/13 12:18:40', '08/29/13 12:19:30', '08/29/13 12:20:10', '08/29/13 12:21:00', '08/29/13 12:21:40']"
4346,8/29/13 12:14,724,51,70,"['08/29/13 12:14:00', '08/29/13 12:14:20', '08/29/13 12:14:30', '08/29/13 12:14:50', '08/29/13 12:15:10', '08/29/13 12:15:30', '08/29/13 12:15:40', '08/29/13 12:16:00', '08/29/13 12:16:20', '08/29/13 12:16:40', '08/29/13 12:16:50', '08/29/13 12:17:10', '08/29/13 12:17:30', '08/29/13 12:17:40', '08/29/13 12:18:00', '08/29/13 12:18:20', '08/29/13 12:18:40', '08/29/13 12:18:50', '08/29/13 12:19:10', '08/29/13 12:19:30', '08/29/13 12:19:40', '08/29/13 12:20:00', '08/29/13 12:20:20', '08/29/13 12:20:40', '08/29/13 12:20:50', '08/29/13 12:21:10', '08/29/13 12:21:30', '08/29/13 12:21:50', '08/29/13 12:22:00', '08/29/13 12:22:20', '08/29/13 12:22:40', '08/29/13 12:22:50', '08/29/13 12:23:10', '08/29/13 12:23:30', '08/29/13 12:23:50', '08/29/13 12:24:00', '08/29/13 12:24:20', '08/29/13 12:24:40', '08/29/13 12:25:00', '08/29/13 12:25:10', '08/29/13 12:25:30', '08/29/13 12:25:50']"
4406,8/29/13 12:41,687,74,60,"['08/29/13 12:41:00', '08/29/13 12:41:20', '08/29/13 12:41:40', '08/29/13 12:42:00', '08/29/13 12:42:20', '08/29/13 12:42:40', '08/29/13 12:43:00', '08/29/13 12:43:20', '08/29/13 12:43:40', '08/29/13 12:44:00', '08/29/13 12:44:20', '08/29/13 12:44:40', '08/29/13 12:45:00', '08/29/13 12:45:20', '08/29/13 12:45:40', '08/29/13 12:46:00', '08/29/13 12:46:20', '08/29/13 12:46:40', '08/29/13 12:47:00', '08/29/13 12:47:20', '08/29/13 12:47:40', '08/29/13 12:48:00', '08/29/13 12:48:20', '08/29/13 12:48:40', '08/29/13 12:49:00', '08/29/13 12:49:30', '08/29/13 12:49:50', '08/29/13 12:50:10', '08/29/13 12:50:30', '08/29/13 12:50:50', '08/29/13 12:51:10', '08/29/13 12:51:30', '08/29/13 12:51:50', '08/29/13 12:52:10']"
4407,8/29/13 12:41,690,74,60,"['08/29/13 12:41:00', '08/29/13 12:41:20', '08/29/13 12:41:40', '08/29/13 12:42:00', '08/29/13 12:42:20', '08/29/13 12:42:40', '08/29/13 12:43:00', '08/29/13 12:43:20', '08/29/13 12:43:40', '08/29/13 12:44:00', '08/29/13 12:44:20', '08/29/13 12:44:40', '08/29/13 12:45:00', '08/29/13 12:45:20', '08/29/13 12:45:40', '08/29/13 12:46:00', '08/29/13 12:46:20', '08/29/13 12:46:50', '08/29/13 12:47:10', '08/29/13 12:47:30', '08/29/13 12:47:50', '08/29/13 12:48:10', '08/29/13 12:48:30', '08/29/13 12:48:50', '08/29/13 12:49:10', '08/29/13 12:49:30', '08/29/13 12:49:50', '08/29/13 12:50:10', '08/29/13 12:50:30', '08/29/13 12:50:50', '08/29/13 12:51:10', '08/29/13 12:51:30', '08/29/13 12:51:50', '08/29/13 12:52:10']"
4460,8/29/13 13:08,693,61,50,"['08/29/13 13:08:00', '08/29/13 13:08:20', '08/29/13 13:08:30', '08/29/13 13:08:50', '08/29/13 13:09:10', '08/29/13 13:09:20', '08/29/13 13:09:40', '08/29/13 13:10:00', '08/29/13 13:10:20', '08/29/13 13:10:30', '08/29/13 13:10:50', '08/29/13 13:11:10', '08/29/13 13:11:20', '08/29/13 13:11:40', '08/29/13 13:12:00', '08/29/13 13:12:10', '08/29/13 13:12:30', '08/29/13 13:12:50', '08/29/13 13:13:00', '08/29/13 13:13:20', '08/29/13 13:13:40', '08/29/13 13:13:50', '08/29/13 13:14:10', '08/29/13 13:14:30', '08/29/13 13:14:50', '08/29/13 13:15:00', '08/29/13 13:15:20', '08/29/13 13:15:40', '08/29/13 13:15:50', '08/29/13 13:16:10', '08/29/13 13:16:30', '08/29/13 13:16:40', '08/29/13 13:17:00', '08/29/13 13:17:20', '08/29/13 13:17:30', '08/29/13 13:17:50', '08/29/13 13:18:10', '08/29/13 13:18:30', '08/29/13 13:18:40', '08/29/13 13:19:00', '08/29/13 13:19:20']"
4464,8/29/13 13:09,425,69,65,"['08/29/13 13:09:00', '08/29/13 13:09:20', '08/29/13 13:09:50', '08/29/13 13:10:10', '08/29/13 13:10:30', '08/29/13 13:11:00', '08/29/13 13:11:20', '08/29/13 13:11:50', '08/29/13 13:12:10', '08/29/13 13:12:30', '08/29/13 13:13:00', '08/29/13 13:13:20', '08/29/13 13:13:40', '08/29/13 13:14:10', '08/29/13 13:14:30', '08/29/13 13:14:50', '08/29/13 13:15:20', '08/29/13 13:15:40']"
